检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,V2605|22:21:59.486,20260312,22:21:59.486,22:22:00.486,V,V2605,4919486,9830,9830,4921986,"visible_execution_drop,interval_execution_drop",5641.5,1.4826,3,"V2609,V2604,V2606",20,520,290.0,5616.0,5614.4724660814045,25.5,45.200744482850304,27.02753391859551,47.90841782964728,5615.571428571428,25.92857142857156,20.0,20.0,27.02753391859551,1253.0,35174670.0,5212.0,169327.50000000087,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,V2609|10:34:44.320,20260312,10:34:44.320,10:34:45.320,V,V2609,48884320,23864,23864,48884320,interval_execution_drop,5849.75,0.37065,3,"V2607,V2606,V2608",20,341,274.025,5848.0,5812.37037037037,1.75,2.991580836787897,37.37962962962956,63.89953353498793,5819.264705882353,30.485294117646845,24.3292,26.84186666667325,36.12962962962956,27.0,784670.0,27.0,5046.249999999991,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,V2609|10:34:48.820,20260312,10:34:48.820,10:34:49.820,V,V2609,48888820,23873,23873,48888820,interval_execution_drop,5847.5,2.9652,2,"V2607,V2608",20,350,278.525,5844.0,5800.481481481482,3.5,5.985463873450192,47.01851851851825,80.40789827878281,5814.6,32.899999999999636,23.525399999999998,26.34407999999901,44.26851851851825,27.0,783065.0,27.0,6347.499999999964,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,V2609|10:37:25.825,20260312,10:37:25.825,10:37:26.825,V,V2609,49045825,24185,24185,49045825,interval_execution_drop,5845.0,3.7064999999999997,3,"V2607,V2606,V2608",20,460,289.505,5840.0,5790.0,5.0,8.55431993156544,55.0,94.09751924721984,5806.888888888889,38.11111111111131,24.7216,27.05486168910126,52.25,12.0,347400.0,12.0,3300.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,V2609|10:37:59.325,20260312,10:37:59.325,10:38:00.325,V,V2609,49079325,24250,24250,49079325,interval_execution_drop,5846.75,0.37065,2,"V2607,V2608",20,449,289.505,5845.0,5799.545454545454,1.75,2.9931158335827597,47.20454545454595,80.73638423833061,5816.833333333334,29.91666666666606,24.7216,25.876666666673252,44.20454545454595,11.0,318975.0,11.0,2596.2500000000273,trade_recovered_3s,,1.5,0.5,
