检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2605|22:27:34.000,20260416,22:27:34.000,,SN,SN2605,5254000,10500,10500,5254000,visible_execution_drop,389560.0,0.7413,3,"SN2606,SN2608,SN2609",20,452,290.0,389320.0,389455.0,24.0,6.160796796385666,10.5,2.695348598418729,,,20.7564,20.0,18.0,24.0,6.160796796385666,detector_event_depth,32.0,12462560.0,32.0,3360.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:28:57.000,20260416,22:28:57.000,,SN,SN2606,5337000,10597,10597,5337000,visible_execution_drop,390100.0,5.9304,5,"SN2605,SN2607,SN2608,SN2609,SN2610",20,260,290.0,389700.0,389859.5,40.0,10.253781081773903,24.05,6.165085875416559,,,31.7596,27.889333333322796,40.0,40.0,10.253781081773903,detector_event_depth,40.0,15594380.0,40.0,9620.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:39:42.500,20260416,22:39:42.500,,SN,SN2606,5982500,11864,11864,5982500,visible_execution_drop,389645.0,0.7413,4,"SN2605,SN2607,SN2608,SN2609",20,310,290.0,389180.0,389363.0,46.5,11.933939868341696,28.2,7.237357081445932,,,35.5824,30.486339999999995,40.5,46.5,11.933939868341696,detector_event_depth,40.0,15574520.0,40.0,11280.0,trade_recovered_3s,0.5,,0.5,
