检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|13:49:03.240,20260310,13:49:03.240,13:49:04.240,L,L2605,60543240,31897,31897,60543740,"visible_execution_drop,interval_execution_drop",7756.0,3.7064999999999997,3,"L2609,L2604,L2606",20,377,290.0,7716.0,7715.615384615385,40.0,51.5729757607014,40.384615384615245,52.06886975840027,7717.076190476191,38.92380952380881,20.0,20.0,20.543706293706236,39.0,1504545.0,62.0,7874.999999999973,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|11:20:32.167,20260310,11:20:32.167,11:20:33.167,L,L2609,51632167,27500,27500,51632167,"visible_execution_drop,interval_execution_drop",7432.0,1.4826,3,"L2605,L2701,L2608",20,223,290.0,7402.0,7402.769230769231,30.0,40.36598493003229,29.2307692307686,39.33095967541524,7402.666666666667,29.33333333333303,20.988999999999997,20.0,14.3125,13.0,481180.0,13.0,1899.999999999959,quote_only_recovered_3s,1.0,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2609|11:20:46.667,20260310,11:20:46.667,,L,L2609,51646167,27528,27528,51646667,visible_execution_drop,7429.5,3.7064999999999997,3,"L2605,L2701,L2608",20,217,289.5,7406.0,7406.0,23.5,31.630661551921396,23.5,31.630661551921396,,,22.7216,22.7216,20.0,2.0,74060.0,6.0,235.0,trade_recovered_3s,1.0,,0.5,
