批次日期,检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX608|09:04:11.000,20260525,09:04:11.000,09:04:12.000,PX,PX608,43451000,9657,9658,43451000,interval_execution_drop,8635.0,2.59455,5,"PX607,PX609,PX610,PX701,PX606",20,125,241.0,8634.0,8445.40119760479,0.5,1.1580775911986103,94.79940119760522,219.5701243719866,8572.86875,31.065625000000185,20.0,20.0,94.54940119760522,167.0,1410382.0,167.0,31663.000000000146,quote_only_recovered_3s,,5.0,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX608|09:08:51.000,20260525,09:08:51.000,09:08:52.000,PX,PX608,43731000,10189,10190,43731000,interval_execution_drop,8648.0,0.7413,5,"PX607,PX609,PX610,PX701,PX606",20,172,290.0,8646.0,8459.620853080569,1.0,2.3126734505087883,94.18957345971558,217.8297258550314,8567.225464190982,40.38726790450892,20.0,20.0,93.68957345971558,211.0,1784980.0,211.0,39747.99999999997,trade_recovered_3s,,2.0,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX608|09:08:57.000,20260525,09:08:57.000,09:08:58.000,PX,PX608,43737000,10201,10202,43737000,interval_execution_drop,8647.0,1.4826,5,"PX607,PX609,PX610,PX701,PX606",20,176,290.0,8648.0,8427.28205128205,-0.5,-1.156470452179947,109.8589743589746,254.09731550589703,8553.194444444445,46.902777777777374,20.0,20.0,109.8589743589746,195.0,1643320.0,195.0,42845.00000000009,trade_recovered_3s,,2.0,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX608|09:19:35.000,20260525,09:19:35.000,09:19:36.000,PX,PX608,44375000,11349,11350,44375000,interval_execution_drop,8684.0,0.7413,5,"PX607,PX609,PX610,PX701,PX606",20,114,290.0,8686.0,8507.084112149532,-1.0,-2.3030861354214647,88.45794392523385,203.72626422209547,8637.502467917078,23.24876604146084,20.0,20.0,88.45794392523385,321.0,2730774.0,321.0,56790.00000000013,quote_only_recovered_3s,,,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX608|09:20:54.000,20260525,09:20:54.000,09:20:55.000,PX,PX608,44454000,11494,11495,44454000,interval_execution_drop,8655.0,1.4826,5,"PX607,PX609,PX610,PX701,PX606",20,125,290.0,8654.0,8436.598425196851,0.5,1.1554015020219526,109.20078740157442,252.341507571518,8439.626459143969,107.68677042801572,20.0,20.0,109.20078740157442,254.0,2142896.0,254.0,55473.9999999998,trade_recovered_3s,,2.0,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,PX610|09:08:30.000,20260525,09:08:30.000,09:08:31.000,PX,PX610,43710000,10209,10210,43710000,interval_execution_drop,8519.0,0.7413,5,"PX607,PX609,PX608,PX701,PX606",20,173,290.0,8518.0,8318.073394495414,0.5,1.173846695621552,100.4633027522932,235.85703193401383,8358.734375,80.1328125,20.0,20.0,100.4633027522932,109.0,906670.0,109.0,21900.99999999992,trade_recovered_3s,,2.0,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SF610|14:54:35.000,20260525,14:54:35.000,14:54:36.000,SF,SF610,64475000,16789,16790,64475000,interval_execution_drop,5988.0,0.7413,5,"SF607,SF609,SF608,SF606,SF611",20,109,290.0,5990.0,5924.0,-1.0,-3.3400133600534403,32.0,106.88042752171008,5924.0,32.0,20.0,30.9304,32.0,7.0,41468.0,7.0,448.0,quote_only_recovered_3s,,,1.0,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|21:22:54.000,20260525,21:22:54.000,,SN,SN2606,1374000,2747,2747,1374000,visible_execution_drop,422210.0,1.4826,5,"SN2607,SN2608,SN2609,SN2610,SN2612",20,513,290.0,421860.0,422069.3846153846,35.0,8.289713649605646,14.061538461537566,3.3304607805446502,,,29.151999999999997,27.965919999999997,34.25,65.0,27434510.0,65.0,9139.999999999418,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|21:48:46.500,20260525,21:48:46.500,21:48:47.500,SN,SN2606,2926500,5846,5846,2926500,"visible_execution_drop,interval_execution_drop",420375.0,2.2238999999999995,3,"SN2608,SN2609,SN2610",20,451,290.0,420020.0,420151.25,35.5,8.444840915848944,22.375,5.322628605411835,420122.8048780488,25.21951219512266,28.651999999999997,22.2216,27.3125,16.0,6722420.0,16.0,3580.0,trade_recovered_3s,0.5,1.5,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:14:55.500,20260525,22:14:55.500,,SN,SN2606,4495500,8975,8975,4495500,visible_execution_drop,419540.0,0.37065,4,"SN2608,SN2609,SN2610,SN2612",20,482,290.0,419280.0,419421.7391304347,26.0,6.197263669733518,11.826086956524524,2.818822271183802,,,21.2564,20.977,22.31730769230635,23.0,9646700.0,23.0,2720.0000000006403,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:20:29.500,20260525,22:20:29.500,,SN,SN2606,4829500,9643,9643,4829500,visible_execution_drop,419695.0,2.2238999999999995,5,"SN2607,SN2608,SN2609,SN2610,SN2612",20,479,290.0,419410.0,419538.0,28.5,6.790645587867379,15.7,3.740811779983083,,,22.7216,20.98475,25.0,25.0,10488450.0,25.0,3925.0,trade_recovered_3s,0.5,,0.5,
20260525,aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|22:23:41.500,20260525,22:23:41.500,,SN,SN2606,5021500,10026,10026,5021500,visible_execution_drop,418852.5,2.2238999999999995,4,"SN2607,SN2609,SN2610,SN2612",20,474,290.0,418430.0,418655.7894736842,42.25,10.087083161733544,19.67105263157864,4.69641523724429,,,24.2216,21.2564,34.5,76.0,31817840.0,76.0,14949.999999999767,trade_recovered_3s,0.5,,1.5,
