检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2606|11:15:11.942,20260130,11:15:11.942,,LC,LC2606,51311942,10288,10288,51311942,visible_execution_drop,150070.0,5.745075,4,"LC2605,LC2607,LC2609,LC2603",20,125,289.514,148340.0,148340.0,86.5,115.27953621643233,86.5,115.27953621643233,,,42.873599999999996,42.873599999999996,86.5,86.5,115.27953621643233,detector_event_depth,3.0,445020.0,3.0,5190.0,quote_only_recovered_3s,,,0.513,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2609|09:50:03.953,20260130,09:50:03.953,,LC,LC2609,46203953,5045,5045,46203953,visible_execution_drop,152647.5,0.5559749999999999,4,"LC2605,LC2607,LC2604,LC2606",20,259,289.511,151120.0,151425.55555555556,76.375,100.06714816816522,61.0972222222219,80.05007906742252,,,76.1648,72.94959999999999,55.5,76.375,100.06714816816522,detector_event_depth,36.0,5451320.0,36.0,43989.99999999977,trade_recovered_3s,0.488,,0.488,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2609|11:29:56.942,20260130,11:29:56.942,,LC,LC2609,52196447,12257,12257,52196942,visible_execution_drop,150035.0,8.52495,2,"LC2605,LC2603",20,118,290.0,148640.0,149233.04347826086,69.75,92.97830506215217,40.09782608695677,53.451296146841436,,,60.356199999999994,55.9084,57.875,69.75,92.97830506215217,detector_event_depth,23.0,3432360.0,28.0,18445.000000000116,trade_recovered_3s,0.25,,,
