检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2601|11:27:16.800,20260106,11:27:16.800,,IC,IC2601,52036800,13202,13202,52036800,visible_execution_drop,7769.0,4.4478000000026965,3,"IC2603,IC2606,IC2602",20,313,290.0,7763.0,7766.466666666666,30.0,7.72300167331703,12.666666666668789,3.260822928734403,,,23.221599999976604,21.244799999902046,30.0,30.0,7.72300167331703,detector_event_depth,12.0,18639520.0,12.0,6080.000000001019,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2602|14:59:47.300,20260106,14:59:47.300,,IC,IC2602,64787300,19794,19794,64787300,visible_execution_drop,7808.000000000001,8.154299999995954,2,"IC2603,IC2606",20,151,289.5,7800.2,7802.733333333334,39.00000000000546,9.989754098362052,26.333333333336668,6.745218579235826,,,29.867200000122295,29.867200000068358,28.250000000007276,39.00000000000546,9.989754098362052,detector_event_depth,9.0,14044920.0,9.0,9480.0000000012,trade_recovered_3s,1.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2602|14:59:57.300,20260106,14:59:57.300,14:59:58.300,IC,IC2602,64797300,19808,19808,64797300,"visible_execution_drop,interval_execution_drop",7806.25,2.5945499999993253,2,"IC2603,IC2606",20,152,289.5,7793.0,7798.282352941176,66.25,16.973578863090474,39.83823529411893,10.20675363820501,7797.391666666666,44.29166666666788,33.08239999999233,33.08239999999233,66.25,66.25,16.973578863090474,detector_event_depth,17.0,26514160.0,17.0,27090.000000000873,persistent_10s,0.5,,,
