scope,trade_date,target_contract,fill_count,detector_event_fill_count,normal_move_fill_count,fill_during_replace_count,closed_count,hedge_failure_count,capital_limit_exit_count,net_pnl,win_rate,worst_net_pnl,max_gross_margin,order_action_count,peak_order_actions_per_minute,reprice_count,pause_count,hedge_failure_rate
overall,ALL,AP605,992,1,991,3,991,7,0,58813.0,1.0,12.0,2054.0,6016,74,11,31,0.007056451612903226
day,20260303,AP605,992,1,991,3,991,7,0,58813.0,1.0,12.0,2054.0,6016,74,11,31,0.007056451612903226
