commodity,contract,trade_date,candidate_score,candidate_level,trigger_reasons,main_reference_contract
AU,AU2604,2026-01-05,50.0,medium,结构失真,AU2602
AU,AU2604,2026-01-06,32.0,low,结构失真,AU2602
AU,AU2602,2026-01-12,41.0,low,结构失真,AU2602
AU,AU2602,2026-01-13,50.0,medium,结构失真,AU2602
AU,AU2602,2026-01-14,60.0,medium,结构失真,AU2602
AU,AU2603,2026-01-14,60.0,medium,结构失真,AU2602
AU,AU2602,2026-01-16,40.0,low,结构失真,AU2602
AU,AU2610,2026-01-19,50.0,medium,振幅异常；结构失真,AU2604
AU,AU2602,2026-01-20,60.0,medium,结构失真,AU2604
AU,AU2602,2026-01-22,34.0,low,结构失真,AU2604
AU,AU2604,2026-01-27,68.0,high,振幅异常；结构失真,AU2604
AU,AU2606,2026-01-28,80.0,high,振幅异常；结构失真,AU2604
AU,AU2602,2026-01-28,32.0,low,振幅异常,AU2604
AU,AU2604,2026-01-28,32.0,low,振幅异常,AU2604
AU,AU2604,2026-01-29,32.0,low,振幅异常,AU2604
AU,AU2606,2026-01-29,32.0,low,振幅异常,AU2604
AU,AU2606,2026-01-30,80.0,high,振幅异常；结构失真,AU2604
AU,AU2604,2026-01-30,49.0,low,振幅异常；结构失真,AU2604
AU,AU2603,2026-02-02,80.0,high,振幅异常；结构失真,AU2604
AU,AU2604,2026-02-02,32.0,low,振幅异常,AU2604
AU,AU2606,2026-02-02,32.0,low,振幅异常,AU2604
AU,AU2602,2026-02-03,34.0,low,结构失真,AU2604
AU,AU2604,2026-02-05,34.0,low,结构失真,AU2604
AU,AU2603,2026-02-05,34.0,low,结构失真,AU2604
AU,AU2602,2026-02-10,60.0,medium,结构失真,AU2604
AU,AU2612,2026-03-04,60.0,medium,结构失真,AU2604
AU,AU2612,2026-03-05,34.0,low,结构失真,AU2604
AU,AU2604,2026-03-09,50.0,medium,结构失真,AU2604
AU,AU2606,2026-03-23,60.0,medium,振幅异常；结构失真,AU2604
AU,AU2604,2026-03-23,32.0,low,振幅异常,AU2604
AU,AU2612,2026-03-23,32.0,low,振幅异常,AU2604
AU,AU2604,2026-03-27,45.0,low,结构失真,AU2606
AU,AU2606,2026-03-27,40.0,low,结构失真,AU2606
AU,AU2604,2026-03-31,40.0,low,结构失真,AU2606
AU,AU2604,2026-04-01,60.0,medium,结构失真,AU2606
AU,AU2702,2026-04-02,63.0,medium,结构失真,AU2606
AU,AU2608,2026-04-09,60.0,medium,结构失真,AU2606
AU,AU2605,2026-04-09,60.0,medium,结构失真,AU2606
AU,AU2608,2026-04-13,34.0,low,结构失真,AU2606
AU,AU2704,2026-04-14,60.0,medium,结构失真,AU2606
AU,AU2605,2026-04-15,44.0,low,结构失真,AU2606
AU,AU2606,2026-04-16,60.0,medium,结构失真,AU2606
AU,AU2606,2026-04-20,44.0,low,结构失真,AU2606
AU,AU2606,2026-04-21,60.0,medium,结构失真,AU2606
AU,AU2605,2026-04-21,60.0,medium,结构失真,AU2606
AU,AU2608,2026-04-21,45.0,low,结构失真,AU2606
AU,AU2605,2026-04-30,60.0,medium,结构失真,AU2606
AU,AU2606,2026-04-30,44.0,low,结构失真,AU2606
AU,AU2608,2026-04-30,34.0,low,结构失真,AU2606
AU,AU2606,2026-05-06,50.0,medium,结构失真,AU2606
AU,AU2608,2026-05-06,40.0,low,结构失真,AU2606
AU,AU2608,2026-05-08,44.0,low,结构失真,AU2606
AU,AU2607,2026-05-14,60.0,medium,结构失真,AU2606
AU,AU2608,2026-05-14,34.0,low,结构失真,AU2606
AU,AU2606,2026-05-15,60.0,medium,振幅异常；结构失真,AU2606
AU,AU2608,2026-05-15,60.0,medium,振幅异常；结构失真,AU2606
AU,AU2607,2026-05-15,60.0,medium,振幅异常；结构失真,AU2606
AU,AU2704,2026-05-18,60.0,medium,结构失真,AU2606
AU,AU2702,2026-05-18,50.0,medium,结构失真,AU2606
AU,AU2606,2026-05-20,80.0,high,振幅异常；结构失真,AU2606
AU,AU2702,2026-05-20,40.0,low,结构失真,AU2606
AU,AU2612,2026-05-29,37.0,low,振幅异常；结构失真,AU2608
