检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CF607|21:08:53.000,20260514,21:08:53.000,21:08:54.000,CF,CF607,533000,1104,1105,533000,interval_execution_drop,16155.0,0.7413,5,"CF609,CF701,CF611,CF703,CF605",20,246,290.0,16155.0,15957.344632768361,0.0,0.0,39.53107344632772,122.3493452377831,16032.397003745318,24.520599250936357,20.0,20.0,39.53107344632772,177.0,2824450.0,177.0,34985.00000000003,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CF701|21:08:53.000,20260514,21:08:53.000,21:08:54.000,CF,CF701,533000,952,953,533000,interval_execution_drop,16737.5,0.0,5,"CF609,CF607,CF611,CF703,CF605",20,154,290.0,16735.0,16623.82096069869,0.5,1.4936519790888725,22.73580786026214,67.91876881332976,16624.434782608696,22.613043478260806,20.0,20.0,22.73580786026214,229.0,3806855.0,229.0,26032.50000000015,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,CF701|21:13:48.000,20260514,21:13:48.000,21:13:49.000,CF,CF701,828000,1423,1424,828000,interval_execution_drop,16702.5,0.0,5,"CF609,CF607,CF611,CF703,CF605",20,156,290.0,16705.0,16553.155339805824,-0.5,-1.49678191887442,29.86893203883519,89.41455482363476,16565.13698630137,27.472602739725698,20.0,20.0,29.86893203883519,206.0,3409950.0,206.0,30765.000000000247,trade_recovered_3s,,2.0,1.0,
