检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,IC2603|11:07:45.200,20260120,11:07:45.200,,IC,IC2603,50865200,11607,11607,50865200,visible_execution_drop,8149.200000000001,1.4826000000121355,3,"IC2606,IC2602,IC2609",20,414,290.0,8141.0,8145.4,41.00000000000364,10.06233740735376,19.000000000005457,4.663034408286815,,,35.0823999999434,29.79504000004373,41.00000000000364,41.00000000000364,10.06233740735376,detector_event_depth,51.0,83083080.0,51.0,38760.00000001113,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LC2607|09:13:15.250,20260120,09:13:15.250,,LC,LC2607,43995250,1460,1460,43995250,visible_execution_drop,155060.0,3.7065,2,"LC2609,LC2606",20,339,288.529,154200.0,154203.96396396396,43.0,55.46240165097382,42.80180180180177,55.20676099806755,,,40.5128,40.5128,35.5,43.0,55.46240165097382,detector_event_depth,111.0,17116640.0,111.0,95019.99999999994,trade_recovered_3s,0.514,,0.514,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2602|09:56:14.500,20260120,09:56:14.500,,NI,NI2602,46574500,35502,35502,46574500,visible_execution_drop,142845.0,4.447799999999999,3,"NI2603,NI2606,NI2609",20,534,290.0,142600.0,142750.33898305084,24.5,17.151457873919284,9.466101694916144,6.626834467371026,,,20.0,20.0,22.185810810810658,24.5,17.151457873919284,detector_event_depth,354.0,50533620.0,354.0,33510.00000000314,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2603|00:59:54.500,20260120,00:59:54.500,,NI,NI2603,14394500,27906,27906,14394500,visible_execution_drop,143945.0,2.9652,2,"NI2602,NI2605",20,331,290.0,143740.0,143859.0909090909,20.5,14.241550592240092,8.590909090908827,5.968188607390896,,,20.0,20.0,20.5,20.5,14.241550592240092,detector_event_depth,22.0,3164900.0,22.0,1889.9999999999416,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,NI2605|00:59:55.000,20260120,00:59:55.000,,NI,NI2605,14395000,25830,25830,14395000,visible_execution_drop,144385.0,2.2238999999999995,2,"NI2602,NI2603",20,148,290.0,144090.0,144238.18181818182,29.5,20.431485265089865,14.681818181817652,10.168520401577489,,,20.0,20.0,29.5,29.5,20.431485265089865,detector_event_depth,11.0,1586620.0,11.0,1614.9999999999418,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|23:42:05.500,20260120,23:42:05.500,,SN,SN2602,9725500,19278,19278,9725500,visible_execution_drop,394345.0,4.447799999999999,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,304,290.0,394100.0,394257.037037037,24.5,6.212833939824265,8.796296296297806,2.2306093132403872,,,23.2216,23.2216,19.45454545454413,24.5,6.212833939824265,detector_event_depth,27.0,10644940.0,27.0,2375.0000000004075,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|00:59:57.000,20260120,00:59:57.000,00:59:58.000,SN,SN2602,14397000,27455,27455,14397000,visible_execution_drop,396990.0,0.7413,3,"SN2603,SN2604,SN2607",20,289,290.0,396540.0,396540.0,45.0,11.335298118340512,45.0,11.335298118340512,396800.0,19.0,27.4368,27.1868,25.2,45.0,11.335298118340512,detector_event_depth,1.0,396540.0,1.0,450.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|09:50:16.500,20260120,09:50:16.500,,SN,SN2602,46216500,33459,33459,46216500,visible_execution_drop,402415.0,2.9652,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,408,290.0,402080.0,402270.0,33.5,8.324739385957283,14.5,3.603245405862108,,,30.867199999999997,27.01244,33.5,33.5,8.324739385957283,detector_event_depth,13.0,5229510.0,13.0,1885.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|09:56:12.000,20260120,09:56:12.000,09:56:13.000,SN,SN2602,46572000,34166,34166,46572000,"visible_execution_drop,interval_execution_drop",400637.5,6.6716999999999995,4,"SN2603,SN2604,SN2606,SN2607",20,412,290.0,400110.0,400275.9090909091,52.75,13.166515865339614,36.15909090908826,9.025388514327355,400223.5714285714,41.39285714285798,36.0824,32.0512666666657,33.94436813186621,52.75,13.166515865339614,detector_event_depth,22.0,8806070.0,22.0,7954.999999999418,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|09:56:16.000,20260120,09:56:16.000,09:56:17.000,SN,SN2602,46576000,34174,34174,46576000,"visible_execution_drop,interval_execution_drop",399655.0,8.895599999999998,3,"SN2603,SN2606,SN2607",20,414,290.0,399070.0,399199.6153846154,58.5,14.637624951520689,45.538461538462435,11.394443091782271,399281.5094339623,37.34905660377117,35.099799999999995,32.628800000023006,43.02713815789612,58.5,14.637624951520689,detector_event_depth,26.0,10379190.0,26.0,11840.000000000233,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|09:56:42.000,20260120,09:56:42.000,,SN,SN2602,46602000,34226,34226,46602000,visible_execution_drop,399460.0,3.7065,2,"SN2605,SN2606",20,416,290.0,399030.0,399234.0,43.0,10.764532118359789,22.6,5.657637811044911,,,37.0824,37.0824,36.54545454545587,43.0,10.764532118359789,detector_event_depth,25.0,9980850.0,25.0,5650.0,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|11:17:05.500,20260120,11:17:05.500,,SN,SN2602,51425500,42049,42049,51425500,visible_execution_drop,394390.0,3.7065,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,410,290.0,394000.0,394177.8333333333,39.0,9.888688861279444,21.21666666666861,5.379615777952941,,,35.0824,29.151999999999997,36.88636363636469,39.0,9.888688861279444,detector_event_depth,60.0,23650670.0,60.0,12730.000000001164,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|13:51:09.500,20260120,13:51:09.500,,SN,SN2602,60669000,46126,46126,60669500,visible_execution_drop,398810.0,6.6716999999999995,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,433,290.0,398210.0,398507.61904761905,60.0,15.044758155512651,30.238095238094683,7.58208049900822,,,41.5128,35.5824,55.0,60.0,15.044758155512651,detector_event_depth,21.0,8368660.0,47.0,6349.999999999884,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|14:30:32.000,20260120,14:30:32.000,14:30:33.000,SN,SN2602,63032000,50824,50824,63032000,visible_execution_drop,398145.0,3.7065,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,438,290.0,397200.0,397792.9090909091,94.5,23.735071393587763,35.20909090908826,8.843283454291342,397835.6043956044,30.939560439559862,35.5824,34.224799999999995,93.0,94.5,23.735071393587763,detector_event_depth,55.0,21878610.0,55.0,19364.999999998545,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2602|14:38:32.500,20260120,14:38:32.500,,SN,SN2602,63512500,51784,51784,63512500,visible_execution_drop,396255.0,2.59455,5,"SN2603,SN2604,SN2605,SN2606,SN2607",20,445,290.0,395800.0,396009.0476190476,45.5,11.482504952618894,24.59523809523671,6.206921829437284,,,42.0128,34.49632,45.5,45.5,11.482504952618894,detector_event_depth,21.0,8316190.0,21.0,5164.999999999709,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|21:38:07.000,20260120,21:38:07.000,,SN,SN2603,2287000,4573,4573,2287000,visible_execution_drop,391950.0,2.2238999999999995,5,"SN2602,SN2604,SN2605,SN2606,SN2607",20,440,290.0,391560.0,391792.68292682926,39.0,9.950248756218905,15.731707317073596,4.013702593972088,,,31.117199999999997,28.151999999999997,33.5,39.0,9.950248756218905,detector_event_depth,41.0,16063500.0,41.0,6450.000000000175,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2603|22:45:18.000,20260120,22:45:18.000,,SN,SN2603,6318000,12603,12603,6318500,visible_execution_drop,393245.0,0.7413,3,"SN2605,SN2606,SN2607",20,384,290.0,392800.0,392986.28571428574,44.5,11.316100649722182,25.871428571426076,6.578959318345071,,,29.651999999999997,29.151999999999997,44.5,44.5,11.316100649722182,detector_event_depth,35.0,13754520.0,44.0,9054.999999999129,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|09:56:16.000,20260120,09:56:16.000,09:56:17.000,SN,SN2604,46575500,31560,31560,46576000,visible_execution_drop,400170.0,9.6369,3,"SN2603,SN2606,SN2607",20,107,290.0,399590.0,399590.0,58.0,14.49384011794987,58.0,14.49384011794987,400150.29850746266,1.9701492537336889,44.4432,43.9432,39.5,58.0,14.49384011794987,detector_event_depth,5.0,1997950.0,33.0,2900.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|10:08:15.500,20260120,10:08:15.500,,SN,SN2604,47295500,32995,32995,47295500,visible_execution_drop,397825.0,6.6716999999999995,5,"SN2602,SN2603,SN2605,SN2606,SN2607",20,162,290.0,397210.0,397490.0,61.5,15.459058631307736,33.5,8.420788034939987,,,59.0366,57.803999999999995,61.5,61.5,15.459058631307736,detector_event_depth,28.0,11129720.0,28.0,9380.0,trade_recovered_3s,0.5,,0.5,
