检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AU_V1,validated,AU2604|09:07:15.500,20260310,09:07:15.500,,AU,AU2604,43635500,38811,38811,43635500,visible_execution_drop,1148.3500000000001,2.9652000000310132,5,"AU2606,AU2608,AU2610,AU2612,AU2702",20,512,290.0,1147.5,1147.9535483870968,42.50000000000682,7.401924500371283,19.822580645166,3.4523587138356766,,,32.61719999983549,28.708750000000006,39.62500000000091,31.0,35586560.0,31.0,12290.00000000292,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|21:54:15.000,20260310,21:54:15.000,,AU,AU2606,3255000,6463,6463,3255000,visible_execution_drop,1139.4199999999998,8.524950000000674,4,"AU2604,AU2608,AU2610,AU2612",20,323,290.0,1138.52,1138.7813333333334,44.99999999999318,7.898755507186672,31.933333333324754,5.605190945099219,,,40.012799999952236,39.41976000011247,42.87500000000364,15.0,17081720.0,15.0,9579.999999997426,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2606|22:18:54.500,20260310,22:18:54.500,,AU,AU2606,4734500,9413,9413,4734500,visible_execution_drop,1140.12,5.189100000020563,4,"AU2604,AU2608,AU2610,AU2702",20,297,290.0,1139.3,1139.7466666666667,40.99999999999682,7.192225379784026,18.666666666661058,3.274509115998502,,,36.582399999955356,33.36719999989655,38.125000000002274,21.0,23934680.0,21.0,7839.999999997644,trade_recovered_3s,0.5,,0.5,
