commodity,contract,trade_date,candidate_score,candidate_level,sample_status,trigger_reasons,main_reference_contract
AU,AU2601,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2602,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2604,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2606,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2608,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2610,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2612,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2603,2026-01-05,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2601,2026-01-06,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2604,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2606,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2608,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2610,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2612,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2603,2026-01-06,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2601,2026-01-07,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2604,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2606,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2608,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2610,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2612,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2603,2026-01-07,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2601,2026-01-08,0.0,none,invalid_lifecycle_edge,无活跃可比合约；样本状态=invalid_lifecycle_edge,AU2602
AU,AU2602,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2604,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2606,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2608,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2610,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2612,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2603,2026-01-08,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2602,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2604,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2606,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2608,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2610,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2612,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
AU,AU2603,2026-01-09,0.0,none,valid,无活跃可比合约,AU2602
