检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AD2603|21:31:20.500,20260116,21:31:20.500,,AD,AD2603,1880500,3750,3750,1880500,visible_execution_drop,22830.0,3.7065,5,"AD2602,AD2605,AD2604,AD2606,AD2609",20,186,290.0,22720.0,22760.446428571428,22.0,48.182216381953566,13.910714285714494,30.465865715537657,,,20.0,20.0,18.875,22.0,48.182216381953566,detector_event_depth,56.0,12745850.0,56.0,38950.00000000058,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|01:06:19.000,20260116,01:06:19.000,,AG,AG2602,14779000,28597,28597,14779000,visible_execution_drop,22927.5,0.7413,3,"AG2606,AG2605,AG2603",20,153,290.0,22873.0,22893.428571428572,54.5,23.77058117980591,34.07142857142753,14.860507500350032,,,37.0824,34.1172,52.5,54.5,23.77058117980591,detector_event_depth,14.0,4807620.0,14.0,7154.999999999782,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2602|13:36:40.000,20260116,13:36:40.000,,AG,AG2602,59800000,53685,53685,59800000,visible_execution_drop,22679.0,5.1891,5,"AG2604,AG2606,AG2605,AG2608,AG2603",20,212,290.0,22613.0,22626.571428571428,66.0,29.101812249217335,52.42857142857247,23.117673366802975,,,59.3388,54.40259999999281,66.0,66.0,29.101812249217335,detector_event_depth,14.0,4751580.0,14.0,11010.000000000218,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|00:20:11.500,20260116,00:20:11.500,,AG,AG2604,12011000,24021,24021,12011500,visible_execution_drop,22880.0,1.4826,3,"AG2605,AG2602,AG2603",20,579,290.0,22851.0,22863.67307692307,29.0,12.674825174825177,16.326923076925596,7.135892953201746,,,21.2216,20.0,20.5,29.0,12.674825174825177,detector_event_depth,104.0,35667330.0,117.0,25470.00000000393,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2604|01:46:29.500,20260116,01:46:29.500,,AG,AG2604,17189500,34367,34367,17189500,visible_execution_drop,22885.5,1.4826,4,"AG2606,AG2605,AG2608,AG2602",20,422,290.0,22860.0,22869.05,25.5,11.14242642721374,16.450000000000728,7.187957440300945,,,20.863999999999997,22.7216,25.5,25.5,11.14242642721374,detector_event_depth,20.0,6860715.0,20.0,4935.000000000218,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|23:29:36.000,20260116,23:29:36.000,,AG,AG2605,8976000,17944,17944,8976000,visible_execution_drop,22553.0,5.1891,3,"AG2606,AG2602,AG2603",20,461,290.0,22511.0,22529.36206896552,42.0,18.62279962754401,23.63793103448188,10.481058411068098,,,31.151999999999997,29.7469333333465,42.0,42.0,18.62279962754401,detector_event_depth,58.0,19600545.0,58.0,20564.999999999236,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|00:40:46.000,20260116,00:40:46.000,,AG,AG2605,13246000,26463,26463,13246000,visible_execution_drop,22786.5,2.2239,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,478,290.0,22758.0,22780.75,28.5,12.50740570074386,5.75,2.523423957167621,,,22.7216,22.993119999996047,27.375,28.5,12.50740570074386,detector_event_depth,4.0,1366845.0,4.0,345.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|01:09:21.500,20260116,01:09:21.500,,AG,AG2605,14961500,29875,29875,14961500,visible_execution_drop,22862.0,0.0,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,412,290.0,22833.0,22847.793103448275,29.0,12.684804479048202,14.20689655172464,6.214196724575558,,,20.0,20.0,29.0,29.0,12.684804479048202,detector_event_depth,29.0,9938790.0,29.0,6180.000000000218,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|09:03:25.000,20260116,09:03:25.000,,AG,AG2605,43405000,39910,39910,43405000,visible_execution_drop,22752.5,3.7065,5,"AG2604,AG2606,AG2608,AG2602,AG2603",20,239,254.5,22705.0,22728.875,47.5,20.8768267223382,23.625,10.383474343478738,,,42.0128,32.79584729345197,44.0,47.5,20.8768267223382,detector_event_depth,8.0,2727465.0,8.0,2835.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:07:51.500,20260116,01:07:51.500,,AG,AG2606,14871500,29718,29718,14871500,visible_execution_drop,22886.75,1.4826,4,"AG2604,AG2605,AG2608,AG2602",20,450,290.0,22836.0,22864.90740740741,50.75,22.174402219624895,21.842592592591245,9.543772091970787,,,23.2216,23.2216,50.75,50.75,22.174402219624895,detector_event_depth,54.0,18520575.0,54.0,17692.49999999891,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|09:14:19.000,20260116,09:14:19.000,,AG,AG2606,44059000,41252,41252,44059000,visible_execution_drop,22880.0,0.7413,5,"AG2604,AG2605,AG2608,AG2602,AG2603",20,568,290.0,22854.0,22870.484848484848,26.0,11.363636363636363,9.515151515151956,4.15872006781117,,,25.2216,26.08394545455443,26.0,26.0,11.363636363636363,detector_event_depth,66.0,22641780.0,66.0,9420.000000000437,trade_recovered_3s,0.5,,0.5,
