检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|09:35:19.000,20260318,09:35:19.000,09:35:20.000,SN,SN2604,45319000,32537,32537,45319000,visible_execution_drop,368552.5,1.1119499999999998,4,"SN2605,SN2606,SN2607,SN2609",20,460,290.0,368180.0,368256.6666666667,37.25,10.10710821389083,29.583333333331392,8.026898022217022,368269.84251968504,28.265748031495605,36.5824,29.569399999999998,23.75,48.0,17676320.0,48.0,14199.999999999069,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2605|00:36:45.000,20260318,00:36:45.000,,SN,SN2605,13005000,25154,25154,13005500,visible_execution_drop,370270.0,3.3358499999999998,4,"SN2604,SN2606,SN2607,SN2609",20,106,290.0,369750.0,370150.0,52.0,14.043805871391147,12.0,3.2408782780133416,,,37.815,36.0824,49.25,8.0,2961200.0,21.0,960.0,trade_recovered_3s,1.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2605|11:05:06.000,20260318,11:05:06.000,,SN,SN2605,50706000,40712,40712,50706000,visible_execution_drop,365037.5,4.07715,4,"SN2604,SN2606,SN2607,SN2608",20,295,290.0,364350.0,364905.0806451613,68.75,18.83368147108174,13.241935483872657,3.6275548358381418,,,43.5128,43.5128,62.625,124.0,45248230.0,124.0,16420.000000002095,trade_recovered_3s,0.5,,0.5,
