检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI607|21:04:19.000,20260514,21:04:19.000,21:04:20.000,OI,OI607,259000,541,542,259000,interval_execution_drop,9670.5,0.0,4,"OI609,OI701,OI611,OI703",20,120,249.0,9669.0,9594.78125,1.5,1.5511090429657206,75.71875,78.29869189804043,9620.702127659575,49.797872340424874,20.0,20.651999999999997,73.96875,32.0,307033.0,32.0,2423.0,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:04:02.000,20260514,21:04:02.000,21:04:03.000,OI,OI609,242000,516,517,242000,interval_execution_drop,9638.5,0.7413,3,"OI607,OI701,OI611",20,162,232.0,9638.0,9529.842592592593,0.5,0.5187529179851637,108.65740740740694,112.73269430659018,9592.771689497717,45.72831050228342,20.0,29.5128,108.65740740740694,108.0,1029223.0,108.0,11734.999999999949,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:04:21.000,20260514,21:04:21.000,21:04:22.000,OI,OI609,261000,554,555,261000,interval_execution_drop,9646.0,1.11195,4,"OI607,OI701,OI611,OI703",20,181,251.0,9645.0,9547.751824817518,1.0,1.036699149906697,98.24817518248165,101.85379969156298,9580.542713567838,65.45728643216171,20.0,22.3324,98.24817518248165,137.0,1308042.0,137.0,13459.999999999985,trade_recovered_3s,,2.0,1.0,
