检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|21:35:57.000,20260507,21:35:57.000,21:35:58.000,SN,SN2606,2157000,4314,4314,2157000,interval_execution_drop,421167.5,1.85325,3,"SN2608,SN2609,SN2610",20,536,290.0,420930.0,420910.0,23.75,5.639086586690568,25.75,6.11395703609609,420914.0,25.35,30.651999999999997,24.7216,19.75,2.0,841820.0,2.0,515.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|09:17:26.500,20260507,09:17:26.500,,SN,SN2606,44246500,30468,30468,44246500,visible_execution_drop,428050.0,2.2238999999999995,5,"SN2607,SN2608,SN2609,SN2605,SN2610",20,528,290.0,427630.0,427831.84210526315,42.0,9.8119378577269,21.815789473685435,5.096551681739385,,,35.0824,30.80408025641565,42.0,38.0,16257610.0,38.0,8290.000000000466,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|10:01:47.000,20260507,10:01:47.000,10:01:48.000,SN,SN2606,46907000,35786,35786,46907000,interval_execution_drop,424180.0,2.2238999999999995,3,"SN2607,SN2608,SN2610",20,533,290.0,424030.0,423907.2727272727,15.0,3.5362346173794146,27.27272727272939,6.4295174861448885,423918.75,26.125,31.151999999999997,24.7216,23.77272727272939,77.0,32640860.0,77.0,21000.00000000163,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|10:01:54.000,20260507,10:01:54.000,,SN,SN2606,46914000,35800,35800,46914000,visible_execution_drop,423545.0,2.2238999999999995,2,"SN2608,SN2609",20,534,290.0,423200.0,423373.75,34.5,8.145533532446375,17.125,4.043253963569397,,,32.5096,24.7216,30.92857142857101,40.0,16934950.0,40.0,6850.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|10:12:41.000,20260507,10:12:41.000,,SN,SN2606,47561000,37093,37093,47561000,visible_execution_drop,419645.0,0.7413,2,"SN2609,SN2605",20,555,290.0,419280.0,419459.0243902439,36.5,8.697827925985058,18.59756097560749,4.4317365810643485,,,36.0824,31.795466666691617,34.25,41.0,17197820.0,41.0,7624.999999999069,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|10:35:30.500,20260507,10:35:30.500,10:35:31.500,SN,SN2606,48930500,38033,38033,48930500,"visible_execution_drop,interval_execution_drop",418500.0,5.1891,5,"SN2607,SN2608,SN2609,SN2605,SN2610",20,465,290.0,418000.0,418161.0144927536,50.0,11.947431302270012,33.89855072463979,8.100012120582985,418153.313253012,34.668674698797986,35.0824,25.19840000002301,49.125,69.0,28853110.0,69.0,23390.000000001455,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|10:48:36.500,20260507,10:48:36.500,10:48:37.500,SN,SN2606,49716500,39604,39604,49716500,"visible_execution_drop,interval_execution_drop",417610.0,3.7065,3,"SN2607,SN2608,SN2610",20,533,290.0,417290.0,417349.3939393939,32.0,7.6626517564234575,26.060606060607824,6.24041715011801,417334.8780487805,27.512195121950935,25.6868,20.8805,15.0,33.0,13772530.0,33.0,8600.000000000582,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|11:21:10.000,20260507,11:21:10.000,11:21:11.000,SN,SN2606,51670000,43502,43502,51670000,"visible_execution_drop,interval_execution_drop",417762.5,7.78365,2,"SN2605,SN2610",20,465,290.0,417000.0,417236.6836734694,76.25,18.25199724723976,52.5816326530592,12.58648936969192,417033.25531914894,72.92446808510576,29.151999999999997,23.2216,72.75,196.0,81778390.0,196.0,103059.99999999604,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|13:58:05.500,20260507,13:58:05.500,,SN,SN2606,61085500,47927,47927,61085500,visible_execution_drop,419880.0,1.4826,5,"SN2607,SN2608,SN2609,SN2605,SN2610",20,539,290.0,419580.0,419831.17647058825,30.0,7.144898542440697,4.882352941174759,1.1627972137693527,,,22.7216,20.994,30.0,34.0,14274260.0,34.0,1659.999999999418,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2606|14:15:13.500,20260507,14:15:13.500,,SN,SN2606,62113500,49979,49979,62113500,visible_execution_drop,421075.0,0.0,3,"SN2607,SN2608,SN2609",20,519,290.0,420760.0,420941.875,31.5,7.480852579706704,13.3125,3.1615507926141424,,,30.151999999999997,24.2216,31.5,16.0,6735070.0,16.0,2130.0,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA608|21:04:37.000,20260506,21:04:37.000,21:04:38.000,TA,TA608,277000,532,533,277000,interval_execution_drop,6734.0,0.0,5,"TA609,TA607,TA606,TA701,TA610",20,102,267.0,6736.0,6680.591836734694,-1.0,-2.97000297000297,26.704081632653015,79.31120176018122,6690.0526315789475,21.973684210526244,20.0,20.0,26.704081632653015,98.0,654698.0,98.0,5233.999999999991,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,TA701|21:19:26.000,20260506,21:19:26.000,21:19:27.000,TA,TA701,1166000,2116,2117,1166000,interval_execution_drop,6389.0,0.0,5,"TA609,TA607,TA606,TA608,TA610",20,137,290.0,6380.0,6217.983122362869,4.5,14.086711535451558,85.50843881856554,267.6739358853202,6270.342182890856,59.32890855457208,20.0,20.0,81.00843881856554,237.0,1473662.0,237.0,40531.000000000065,trade_recovered_3s,,2.0,1.0,
