检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记,日线边界判定
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA606|21:08:16.000,20260309,21:08:16.000,21:08:17.000,MA,MA606,496000,947,948,496000,interval_execution_drop,2648.0,2.9652,5,"MA605,MA609,MA607,MA604,MA608",20,206,290.0,2644.0,2455.6666666666665,4.0,15.105740181268882,192.33333333333348,726.3343403826792,2500.7380952380954,147.2619047619046,20.2912,31.0824,187.83333333333348,33.0,81037.0,33.0,6347.0000000000055,quote_only_recovered_3s,,4.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA606|21:08:50.000,20260309,21:08:50.000,21:08:51.000,MA,MA606,530000,1012,1013,530000,interval_execution_drop,2639.0,1.4826,5,"MA605,MA609,MA607,MA604,MA608",20,212,290.0,2636.0,2473.3076923076924,3.0,11.367942402425165,165.69230769230762,627.8602034570202,2478.075,160.92500000000018,20.0,42.4432,160.69230769230762,39.0,96459.0,39.0,6461.999999999997,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA606|21:09:04.000,20260309,21:09:04.000,21:09:05.000,MA,MA606,544000,1038,1039,544000,interval_execution_drop,2637.5,5.1891,5,"MA605,MA609,MA607,MA604,MA608",20,212,290.0,2634.0,2387.3571428571427,3.5,13.270142180094783,250.14285714285737,948.40893703453,2498.7872340425533,138.71276595744666,20.0,47.8736,244.14285714285737,28.0,66846.0,28.0,7004.0000000000055,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA606|21:24:31.000,20260309,21:24:31.000,21:24:32.000,MA,MA606,1471000,2639,2640,1471000,interval_execution_drop,2609.5,0.7413,5,"MA605,MA609,MA607,MA604,MA608",20,130,290.0,2610.0,2481.290322580646,-0.5,-1.9160758766047137,128.20967741935465,491.318940100995,2489.4897959183672,120.01020408163276,20.0,20.0,128.20967741935465,93.0,230760.0,93.0,11923.499999999982,quote_only_recovered_3s,,,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:09:04.000,20260309,21:09:04.000,21:09:05.000,MA,MA607,544000,993,994,544000,interval_execution_drop,2607.0,7.412999999999999,5,"MA605,MA609,MA606,MA604,MA608",20,149,290.0,2614.0,2430.875,-7.0,-26.85078634445723,176.125,675.5849635596471,2515.0975609756097,91.90243902439032,20.0,39.5856,176.125,24.0,58341.0,24.0,4227.0,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:10:49.000,20260309,21:10:49.000,21:10:50.000,MA,MA607,649000,1188,1189,649000,interval_execution_drop,2590.0,5.9304,5,"MA605,MA609,MA606,MA604,MA608",20,164,290.0,2599.0,2452.46875,-9.0,-34.74903474903475,137.53125,531.0086872586872,2487.975,102.02500000000008,20.0,80.3168,137.53125,32.0,78479.0,32.0,4401.0,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA607|21:20:07.000,20260309,21:20:07.000,21:20:08.000,MA,MA607,1207000,2115,2116,1207000,interval_execution_drop,2596.0,1.4826,5,"MA605,MA609,MA606,MA604,MA608",20,126,290.0,2598.0,2431.872340425532,-2.0,-7.704160246533128,164.127659574468,632.2328951250693,2435.7916666666665,160.20833333333348,20.0,33.0888,163.627659574468,47.0,114298.0,47.0,7713.999999999996,quote_only_recovered_3s,,9.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,MA701|21:14:37.000,20260309,21:14:37.000,21:14:38.000,MA,MA701,877000,1198,1199,877000,interval_execution_drop,2527.0,1.4826,5,"MA605,MA609,MA606,MA607,MA604",20,134,289.0,2528.0,2362.5833333333335,-1.0,-3.957261574990107,164.41666666666652,650.6397572879562,2429.7894736842104,97.2105263157896,60.303999999999995,46.8736,164.41666666666652,12.0,28351.0,12.0,1972.9999999999984,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI605|21:08:44.000,20260309,21:08:44.000,21:08:45.000,OI,OI605,524000,1079,1080,524000,interval_execution_drop,9873.75,1.11195,4,"OI609,OI607,OI701,OI611",20,290,290.0,9872.0,9685.253623188406,1.75,1.7723762501582478,188.496376811594,190.90657228671375,9727.948863636364,145.80113636363603,26.1868,91.418,185.746376811594,138.0,1336565.0,138.0,26012.499999999975,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,OI609|21:32:33.000,20260309,21:32:33.000,21:32:34.000,OI,OI609,1953000,3387,3388,1953000,interval_execution_drop,9719.625,1.11195,4,"OI605,OI607,OI701,OI611",20,149,289.0,9719.0,9604.418604651162,0.625,0.6430289234409764,115.20639534883776,118.52967099948584,9617.574468085106,102.05053191489424,20.0,82.74719999999999,114.95639534883776,43.0,412990.0,43.0,4953.875000000024,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:19:02.000,20260309,21:19:02.000,21:19:03.000,PF,PF604,1142000,2000,2001,1142000,interval_execution_drop,8251.0,4.4478,5,"PF606,PF605,PF607,PF608,PF609",20,245,290.0,8248.0,7570.140350877193,1.5,3.635922918434129,340.4298245614036,825.1844008275448,7605.848739495798,322.57563025210084,30.0824,20.0,339.9298245614036,114.0,862996.0,114.0,77618.00000000003,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:20:05.000,20260309,21:20:05.000,21:20:06.000,PF,PF604,1205000,2114,2115,1205000,interval_execution_drop,8264.5,2.59455,5,"PF606,PF605,PF607,PF608,PF609",20,241,290.0,8240.0,7657.175572519084,12.25,29.64486659810031,303.6622137404579,734.8592503852814,7895.549738219896,184.47513089005224,44.6932,43.46879999999999,294.1622137404579,131.0,1003090.0,131.0,79559.49999999997,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:26:42.000,20260309,21:26:42.000,21:26:43.000,PF,PF604,1602000,2858,2859,1602000,interval_execution_drop,8228.25,1.667925,4,"PF606,PF605,PF607,PF609",20,255,290.0,8188.0,7972.2945205479455,20.125,48.91684136967156,127.97773972602728,311.0691574175001,8002.355555555556,112.94722222222208,46.0128,20.0,104.72773972602728,292.0,2327910.0,292.0,74738.99999999993,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:30:05.000,20260309,21:30:05.000,21:30:06.000,PF,PF604,1805000,3204,3205,1805000,interval_execution_drop,8210.0,0.7413,3,"PF606,PF605,PF607",20,246,290.0,8226.0,7559.076923076923,-8.0,-19.4884287454324,325.46153846153857,792.8417502108126,7598.926829268293,305.5365853658536,40.0824,20.0,319.96153846153857,156.0,1179216.0,156.0,101544.00000000004,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:31:54.000,20260309,21:31:54.000,21:31:55.000,PF,PF604,1914000,3393,3394,1914000,interval_execution_drop,8183.0,2.2239,5,"PF606,PF605,PF607,PF608,PF609",20,225,290.0,8196.0,8057.757575757576,-6.5,-15.886594158621532,62.62121212121201,153.0519665677918,8117.8233082706765,32.58834586466173,33.152,20.0,62.62121212121201,429.0,3456778.0,429.0,53728.999999999905,trade_recovered_3s,,2.0,1.0,,建议排除
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PF604|21:37:42.000,20260309,21:37:42.000,21:37:43.000,PF,PF604,2262000,4019,4020,2263000,interval_execution_drop,8162.5,1.85325,4,"PF606,PF605,PF607,PF609",20,240,290.0,8160.0,7972.938461538461,1.25,3.0627871362940273,94.78076923076924,232.23465661444223,8013.40614334471,74.54692832764522,20.0,20.0,92.03076923076924,390.0,3109446.0,879.0,73929.0,trade_recovered_3s,,3.0,1.0,,建议排除
