检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,ZN2604|23:26:39.500,20260130,23:26:39.500,23:26:40.500,ZN,ZN2604,8799500,17438,17438,8799500,"visible_execution_drop,interval_execution_drop",26291.25,0.37065,4,"ZN2605,ZN2602,ZN2606,ZN2607",20,388,290.0,26000.0,26087.48148148148,58.25,110.77830076546378,40.75370370370365,77.50430980593096,26185.559895833336,21.13802083333285,20.0,20.0,57.25,58.25,110.77830076546378,detector_event_depth,135.0,17609050.0,135.0,137543.74999999983,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,ZN2605|14:30:51.500,20260130,14:30:51.500,,ZN,ZN2605,63051500,48388,48388,63051500,visible_execution_drop,25938.75,0.7413,4,"ZN2604,ZN2602,ZN2606,ZN2607",20,115,290.0,25800.0,25844.84962406015,27.75,53.49139800491543,18.780075187970215,36.20080996187213,,,20.0,20.0,27.75,27.75,53.49139800491543,detector_event_depth,133.0,17186825.0,133.0,62443.75000000096,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,ZN2605|14:59:41.000,20260130,14:59:41.000,,ZN,ZN2605,64781000,51245,51245,64781000,visible_execution_drop,25920.0,0.7413,3,"ZN2603,ZN2604,ZN2606",20,120,290.0,25820.0,25862.625,20.0,38.58024691358025,11.475,22.135416666666668,,,20.0,20.0,20.0,20.0,38.58024691358025,detector_event_depth,40.0,5172525.0,40.0,11475.0,trade_recovered_3s,0.5,,0.5,
