scope,trade_date,target_contract,fill_count,detector_event_fill_count,normal_move_fill_count,fill_during_replace_count,closed_count,hedge_failure_count,capital_limit_exit_count,net_pnl,win_rate,worst_net_pnl,max_gross_margin,order_action_count,peak_order_actions_per_minute,reprice_count,pause_count,hedge_failure_rate
overall,ALL,AP605,17,0,17,0,17,0,0,3574.0,1.0,199.0,2030.8000000000002,1564,22,0,426,0.0
day,20260303,AP605,17,0,17,0,17,0,0,3574.0,1.0,199.0,2030.8000000000002,1564,22,0,426,0.0
