检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AU_V1,validated,AU2606|23:45:23.000,20260210,23:45:23.000,,AU,AU2606,9923000,18343,18343,9923000,visible_execution_drop,1132.665,1.4825999999986514,4,"AU2608,AU2610,AU2612,AU2603",20,168,290.0,1131.0000000000002,1132.045,83.24999999998681,14.699845055684923,30.999999999994543,5.473816176891586,,,36.08239999975355,36.0823999996975,80.24999999997817,28.0,31697260.0,28.0,17359.999999996944,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AU_V1,validated,AU2608|09:13:26.500,20260210,09:13:26.500,,AU,AU2608,44006500,36650,36650,44006500,visible_execution_drop,1129.8299999999997,2.2238999999811218,5,"AU2604,AU2606,AU2610,AU2612,AU2603",20,147,290.0,1129.12,1129.54,35.49999999999045,6.284131240981468,14.499999999986812,2.5667578308217727,,,33.582399999969454,33.582399999823245,34.00000000000318,3.0,3388620.0,3.0,869.9999999992087,trade_recovered_3s,0.5,,1.0,
aggregated-tick-v1,AU_V1,validated,AU2608|14:59:04.000,20260210,14:59:04.000,,AU,AU2608,64744000,58566,58566,64744500,"visible_execution_drop,interval_execution_drop",1126.88,2.2239000000148326,5,"AU2604,AU2606,AU2610,AU2612,AU2603",20,180,290.0,1126.0,1126.18,44.00000000000546,7.809172227744827,35.000000000002274,6.211841544796655,,,35.36720000004094,35.31176551729307,43.25000000001751,13.0,14640340.0,50.0,9100.000000000591,trade_recovered_3s,1.0,2.0,0.5,
