检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR605|21:07:31.000,20260318,21:07:31.000,21:07:32.000,PR,PR605,451000,940,941,451000,interval_execution_drop,8820.0,2.9652,3,"PR606,PR607,PR604",20,254,290.0,8826.0,8588.471698113208,-3.0,-6.802721088435374,115.76415094339609,262.5037436358188,8628.803278688525,95.59836065573745,42.297599999999996,20.0,115.76415094339609,106.0,910378.0,106.0,24541.99999999997,trade_recovered_3s,,2.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR606|21:09:18.000,20260318,21:09:18.000,21:09:19.000,PR,PR606,558000,1032,1033,558000,interval_execution_drop,8665.5,1.11195,4,"PR605,PR607,PR604,PR610",20,114,290.0,8668.0,8509.125,-1.25,-2.8850037505048753,78.1875,180.45698459407996,8586.083333333334,39.70833333333303,27.6694,20.553999999999995,78.1875,16.0,136146.0,16.0,2502.0,quote_only_recovered_3s,,5.0,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PR606|21:10:15.000,20260318,21:10:15.000,21:10:16.000,PR,PR606,615000,1131,1132,615000,interval_execution_drop,8694.5,2.59455,4,"PR605,PR607,PR604,PR610",20,111,290.0,8690.0,8547.52380952381,2.25,5.175685778365634,73.48809523809541,169.04501751243987,8583.76923076923,55.365384615384755,20.0,21.696399999999997,69.98809523809541,21.0,179498.0,21.0,3086.5000000000073,quote_only_recovered_3s,,,1.0,
