检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2604|10:35:46.000,20260312,10:35:46.000,10:35:47.000,SN,SN2604,48946000,38331,38331,48946000,interval_execution_drop,390780.0,2.2238999999999995,5,"SN2605,SN2606,SN2607,SN2608,SN2609",20,398,290.0,390680.0,390410.0,10.0,2.5589845949127388,37.0,9.468243001177132,390444.7619047619,33.523809523810634,32.1346,27.27593333331129,31.25,42.0,16397220.0,42.0,15540.0,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2605|21:06:39.500,20260312,21:06:39.500,,SN,SN2605,399500,799,799,399500,visible_execution_drop,389110.0,6.6716999999999995,5,"SN2604,SN2606,SN2607,SN2608,SN2609",20,320,290.0,388350.0,388704.51612903224,76.0,19.531751946750276,40.5483870967757,10.420803139671479,,,71.1648,56.6299933333458,74.75,31.0,12049840.0,31.0,12570.000000000466,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SN2605|22:59:31.000,20260312,22:59:31.000,22:59:32.000,SN,SN2605,7171000,14193,14193,7171000,"visible_execution_drop,interval_execution_drop",393460.0,8.1543,5,"SN2604,SN2606,SN2607,SN2608,SN2609",20,173,290.0,391930.0,392600.9392265193,153.0,38.88578254460428,85.90607734806835,21.833497013182622,392711.14624505927,74.88537549407337,48.9432,48.15711999999999,153.0,181.0,71060770.0,181.0,155490.00000000373,trade_recovered_3s,0.5,1.5,0.5,
