commodity,contract,trade_date,candidate_score,candidate_level,trigger_reasons,main_reference_contract
AU,AU2602,2026-01-05,55.0,low,结构失真,AU2602
AU,AU2602,2026-01-06,55.0,low,结构失真,AU2602
AU,AU2602,2026-01-07,55.0,low,结构失真,AU2602
AU,AU2602,2026-01-08,55.0,low,结构失真,AU2602
AU,AU2604,2026-01-09,45.0,low,结构失真,AU2602
AU,AU2602,2026-01-09,40.0,low,结构失真；邻近参考不足,AU2602
AU,AU2602,2026-01-12,59.0,low,结构失真,AU2602
AU,AU2601,2026-01-12,41.0,low,振幅异常；结构失真；邻近参考不足；样本状态=invalid_lifecycle_edge,AU2602
AU,AU2608,2026-01-13,42.0,low,结构失真,AU2602
AU,AU2602,2026-01-14,50.0,low,结构失真,AU2602
AU,AU2608,2026-01-14,43.0,low,结构失真,AU2602
AU,AU2602,2026-01-15,40.0,low,结构失真；邻近参考不足,AU2602
AU,AU2608,2026-01-16,40.0,low,结构失真,AU2602
AU,AU2602,2026-01-19,44.0,low,结构失真；邻近参考不足,AU2604
AU,AU2602,2026-01-20,40.0,low,结构失真；邻近参考不足,AU2604
AU,AU2602,2026-01-21,41.0,low,振幅异常；结构失真；邻近参考不足,AU2604
AU,AU2603,2026-01-26,46.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2602,2026-01-26,41.0,low,回归迹象明显；结构失真；邻近参考不足,AU2604
AU,AU2606,2026-01-28,47.0,low,振幅异常；结构失真,AU2604
AU,AU2603,2026-01-29,61.0,medium,振幅异常；回归迹象明显；结构失真,AU2604
AU,AU2606,2026-01-30,70.0,medium,振幅异常；回归迹象明显；结构失真,AU2604
AU,AU2603,2026-01-30,50.0,low,振幅异常；结构失真,AU2604
AU,AU2603,2026-02-02,47.0,low,振幅异常；结构失真,AU2604
AU,AU2604,2026-02-24,55.0,low,结构失真,AU2604
AU,AU2604,2026-02-25,55.0,low,结构失真,AU2604
AU,AU2604,2026-02-26,55.0,low,结构失真,AU2604
AU,AU2604,2026-02-27,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-02,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-03,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-04,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-05,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-06,55.0,low,结构失真,AU2604
AU,AU2610,2026-03-06,47.0,low,结构失真,AU2604
AU,AU2604,2026-03-09,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-10,40.0,low,结构失真；邻近参考不足,AU2604
AU,AU2604,2026-03-11,40.0,low,结构失真；邻近参考不足,AU2604
AU,AU2604,2026-03-12,55.0,low,结构失真,AU2604
AU,AU2603,2026-03-12,51.0,low,振幅异常；回归迹象明显；结构失真；邻近参考不足；样本状态=invalid_lifecycle_edge,AU2604
AU,AU2604,2026-03-13,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-16,55.0,low,结构失真,AU2604
AU,AU2604,2026-03-18,40.0,low,结构失真；邻近参考不足,AU2604
AU,AU2604,2026-03-20,65.0,medium,振幅异常；回归迹象明显；结构失真；邻近参考不足,AU2604
AU,AU2608,2026-03-20,46.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2610,2026-03-20,46.0,low,振幅异常；回归迹象明显,AU2604
AU,AU2604,2026-03-23,55.0,low,振幅异常；结构失真；邻近参考不足,AU2604
AU,AU2612,2026-03-23,47.0,low,振幅异常；结构失真,AU2604
AU,AU2604,2026-03-24,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2604,2026-03-25,56.0,low,振幅异常；结构失真；邻近参考不足,AU2606
AU,AU2604,2026-03-27,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2604,2026-03-30,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2604,2026-03-31,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-04-22,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-23,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-24,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-27,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-28,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-29,55.0,low,结构失真,AU2606
AU,AU2606,2026-04-30,55.0,low,结构失真,AU2606
AU,AU2605,2026-04-30,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-06,55.0,low,结构失真,AU2606
AU,AU2606,2026-05-07,55.0,low,结构失真,AU2606
AU,AU2606,2026-05-08,55.0,low,结构失真,AU2606
AU,AU2606,2026-05-11,44.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-12,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-13,55.0,low,结构失真,AU2606
AU,AU2605,2026-05-13,40.0,low,振幅异常；回归迹象明显；结构失真；邻近参考不足；样本状态=invalid_lifecycle_edge,AU2606
AU,AU2606,2026-05-14,55.0,low,结构失真,AU2606
AU,AU2606,2026-05-15,60.0,medium,振幅异常；结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-18,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-19,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2608,2026-05-20,51.0,low,回归迹象明显；结构失真,AU2606
AU,AU2606,2026-05-20,50.0,low,振幅异常；回归迹象明显；结构失真；邻近参考不足,AU2606
AU,AU2702,2026-05-20,48.0,low,回归迹象明显；结构失真,AU2606
AU,AU2610,2026-05-20,45.0,low,回归迹象明显；结构失真,AU2606
AU,AU2612,2026-05-20,45.0,low,结构失真,AU2606
AU,AU2606,2026-05-21,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-22,40.0,low,结构失真；邻近参考不足,AU2606
AU,AU2606,2026-05-25,40.0,low,结构失真；邻近参考不足,AU2608
AU,AU2606,2026-05-26,40.0,low,结构失真；邻近参考不足,AU2608
AU,AU2606,2026-05-28,40.0,low,结构失真；邻近参考不足,AU2608
