检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,FU2607|09:52:36.500,20260305,09:52:36.500,,FU,FU2607,46356500,20567,20567,46356500,visible_execution_drop,3601.0,4.4478,5,"FU2605,FU2606,FU2609,FU2604,FU2608",20,390,290.0,3578.0,3583.0265957446804,23.0,63.87114690363788,17.973404255319565,49.91225841521679,,,20.0,20.0,20.5,188.0,6736090.0,188.0,33790.000000000786,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|14:00:33.332,20260305,14:00:33.332,14:00:34.332,L,L2605,61231832,34188,34188,61233332,"visible_execution_drop,interval_execution_drop",7554.0,8.8956,2,"L2609,L2607",20,561,289.514,7528.0,7528.470149253731,26.0,34.41885093989939,25.529850746269403,33.79646643668176,7525.107485604606,28.89251439539385,22.7216,21.14880418847624,14.25,134.0,5044075.0,391.0,17105.000000000502,trade_recovered_3s,0.5,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,L2605|14:50:12.881,20260305,14:50:12.881,14:50:13.881,L,L2605,64212881,40132,40132,64213881,"visible_execution_drop,interval_execution_drop",7536.5,3.7065,3,"L2609,L2604,L2608",20,500,289.51,7510.0,7509.0,26.5,35.16221057520069,27.5,36.48908644596298,7509.295454545454,27.20454545454595,22.2564,21.595533333329435,14.888593951093751,26.0,976170.0,88.0,3575.0,persistent_10s,,,,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LU2605|14:01:18.500,20260305,14:01:18.500,14:01:19.500,LU,LU2605,61278500,34278,34278,61278500,"visible_execution_drop,interval_execution_drop",4550.5,8.8956,5,"LU2606,LU2607,LU2604,LU2609,LU2608",20,535,290.0,4516.0,4518.0465116279065,34.5,75.8158444127019,32.45348837209349,71.31851087153827,4516.296551724137,34.203448275862684,31.151999999999997,29.600457142859963,18.688235294117476,43.0,1942760.0,43.0,13955.0000000002,trade_recovered_10s,1.5,5.0,4.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,LU2605|14:10:20.000,20260305,14:10:20.000,14:10:21.000,LU,LU2605,61820000,35360,35360,61820000,"visible_execution_drop,interval_execution_drop",4489.0,2.9652,5,"LU2606,LU2607,LU2604,LU2609,LU2608",20,487,290.0,4444.0,4452.298850574713,45.0,100.24504343951882,36.70114942528744,81.7579626315158,4450.733333333334,38.266666666666424,27.2216,29.89375999999802,22.75,87.0,3873500.0,87.0,31930.000000000073,trade_recovered_3s,1.0,2.0,3.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|10:39:37.179,20260305,10:39:37.179,10:39:38.179,PG,PG2604,49177179,24224,24224,49177179,interval_execution_drop,5316.5,1.4826,2,"PG2609,PG2608",20,568,289.504,5298.0,5295.158333333334,18.5,34.7973290698768,21.34166666666624,40.14232421078951,5295.727272727273,20.772727272727025,20.0,20.0,19.282894736841172,120.0,12708380.0,120.0,51219.99999999898,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2604|14:01:10.832,20260305,14:01:10.832,14:01:11.832,PG,PG2604,61270832,33913,33913,61270832,interval_execution_drop,5351.5,7.04235,3,"PG2606,PG2607,PG2608",20,548,289.514,5330.0,5330.101123595506,21.5,40.17565168644305,21.39887640449433,39.98668860038182,5322.7331887201735,28.76681127982647,21.7564,20.25484438356192,13.398876404494333,89.0,9487580.0,89.0,38089.99999999991,trade_recovered_3s,,1.5,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2605|14:01:10.332,20260305,14:01:10.332,,PG,PG2605,61270332,32193,32193,61270332,visible_execution_drop,5230.25,7.412999999999999,4,"PG2606,PG2607,PG2609,PG2608",20,387,289.514,5210.0,5212.111111111111,20.25,38.7170785335309,18.138888888888687,34.680730154177496,,,20.0,20.0,14.75,45.0,4690900.0,45.0,16324.999999999818,trade_recovered_3s,1.0,,1.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,PG2606|14:01:10.832,20260305,14:01:10.832,14:01:11.832,PG,PG2606,61270832,31550,31550,61270832,"visible_execution_drop,interval_execution_drop",5103.0,4.4478,2,"PG2607,PG2608",20,185,289.514,5080.0,5081.35294117647,23.0,45.071526553008034,21.647058823529733,42.42026028518467,5079.477272727273,23.522727272727025,20.0,20.0,17.5,34.0,3455320.0,34.0,14720.000000000218,trade_recovered_3s,0.5,2.0,2.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,SC2604|14:18:14.500,20260305,14:18:14.500,,SC,SC2604,62294500,59867,59867,62294500,visible_execution_drop,716.05,5.189099999998651,5,"SC2605,SC2606,SC2607,SC2609,SC2608",20,507,290.0,711.3,711.3,47.5,66.33614971021576,47.5,66.33614971021576,,,43.94320000001056,43.94319999999707,47.5,2.0,1422600.0,2.0,9500.0,trade_recovered_10s,9.0,,8.5,
