检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,事件确认深度_跳,事件确认深度_基点,确认深度来源,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|01:09:21.500,20260106,01:09:21.500,,AG,AG2605,14961500,29242,29242,14961500,visible_execution_drop,18750.5,2.2239,5,"AG2604,AG2602,AG2606,AG2608,AG2603",20,425,290.0,18724.0,18735.642857142855,26.5,14.132956454494549,14.857142857144936,7.92359822785789,,,24.2216,24.2216,26.5,26.5,14.132956454494549,detector_event_depth,14.0,3934485.0,14.0,3120.000000000437,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2605|10:39:16.000,20260106,10:39:16.000,,AG,AG2605,49156000,48762,48762,49156000,visible_execution_drop,19195.0,1.4826,5,"AG2604,AG2602,AG2606,AG2608,AG2603",20,445,290.0,19170.0,19183.1,25.0,13.024225058609012,11.900000000001455,6.1995311278986485,,,20.0,20.0,25.0,25.0,13.024225058609012,detector_event_depth,20.0,5754930.0,20.0,3570.000000000437,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2606|01:01:22.000,20260106,01:01:22.000,,AG,AG2606,14482000,28563,28563,14482000,visible_execution_drop,18724.25,0.37065,4,"AG2602,AG2605,AG2608,AG2603",20,416,290.0,18703.0,18711.2,21.25,11.348919182343751,13.049999999999272,6.969571544921304,,,20.0,20.0,20.196428571427532,21.25,11.348919182343751,detector_event_depth,15.0,4210020.0,15.0,2936.2499999998363,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|13:56:57.000,20260106,13:56:57.000,13:56:58.000,AG,AG2607,61017000,54603,54603,61017000,visible_execution_drop,19238.5,4.4478,4,"AG2604,AG2602,AG2606,AG2608",20,140,290.0,19210.0,19218.285714285717,28.5,14.814044754008888,20.214285714282596,10.50720467514754,19224.5625,13.9375,20.0,20.0,28.5,28.5,14.814044754008888,detector_event_depth,7.0,2017920.0,7.0,2122.4999999996726,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2607|13:58:14.000,20260106,13:58:14.000,,AG,AG2607,61094000,54756,54756,61094000,visible_execution_drop,19211.5,2.9652,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,168,290.0,19183.0,19183.6,28.5,14.834864534263332,27.900000000001455,14.522551596700652,,,24.2216,21.458933333326748,28.5,28.5,14.834864534263332,detector_event_depth,10.0,2877540.0,10.0,4185.000000000218,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|21:24:21.500,20260106,21:24:21.500,,AG,AG2608,1461000,2877,2877,1461500,visible_execution_drop,18124.25,1.11195,5,"AG2604,AG2602,AG2606,AG2605,AG2603",20,358,290.0,18100.0,18100.0,24.25,13.37986399437218,24.25,13.37986399437218,,,20.0,20.0,22.75,24.25,13.37986399437218,detector_event_depth,1.0,271500.0,41.0,363.75,trade_recovered_3s,2.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|10:00:24.500,20260106,10:00:24.500,,AG,AG2608,46824500,44929,44929,46824500,visible_execution_drop,18851.0,0.7413,5,"AG2604,AG2602,AG2606,AG2605,AG2603",20,368,290.0,18825.0,18837.052631578947,26.0,13.792371757466448,13.947368421053396,7.398741934673703,,,20.0,20.0,24.25,26.0,13.792371757466448,detector_event_depth,19.0,5368560.0,19.0,3975.0000000002183,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2608|13:47:58.000,20260106,13:47:58.000,,AG,AG2608,60478000,55867,55867,60478000,visible_execution_drop,19334.0,1.85325,4,"AG2604,AG2606,AG2605,AG2603",20,363,290.0,19311.0,19322.5,23.0,11.896141512361645,11.5,5.9480707561808215,,,22.2216,20.078133333317737,15.5,23.0,11.896141512361645,detector_event_depth,8.0,2318700.0,8.0,1380.0,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2609|13:58:30.500,20260106,13:58:30.500,,AG,AG2609,61110500,51959,51959,61110500,visible_execution_drop,19235.5,2.2239,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,159,290.0,19206.0,19206.0,29.5,15.336227288087132,29.5,15.336227288087132,,,29.151999999999997,29.151999999999997,29.5,29.5,15.336227288087132,detector_event_depth,1.0,288090.0,1.0,442.5,trade_recovered_3s,1.0,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,AG2611|09:53:21.000,20260106,09:53:21.000,,AG,AG2611,46401000,39697,39697,46401000,visible_execution_drop,18791.5,0.7413,5,"AG2604,AG2602,AG2606,AG2605,AG2608",20,156,290.0,18759.0,18765.4,32.5,17.295053614666205,26.099999999998545,13.889258441315778,,,24.363999999999997,22.7564,30.25,32.5,17.295053614666205,detector_event_depth,5.0,1407405.0,5.0,1957.4999999998909,trade_recovered_3s,2.0,,0.5,
