scope,trade_date,target_contract,fill_count,detector_event_fill_count,normal_move_fill_count,fill_during_replace_count,closed_count,hedge_failure_count,capital_limit_exit_count,net_pnl,win_rate,worst_net_pnl,max_gross_margin,order_action_count,peak_order_actions_per_minute,reprice_count,pause_count,hedge_failure_rate
overall,ALL,AP605,61,0,61,1,61,0,0,12866.0,1.0,154.0,2038.3000000000002,426,62,6,17,0.0
day,20260303,AP605,61,0,61,1,61,0,0,12866.0,1.0,154.0,2038.3000000000002,426,62,6,17,0.0
