检测器版本,参数档,验证状态,事件编号,交易日,事件时间,区间均价确认结束时间,品种,合约,事件开始序号,事件锚点开始序号,事件锚点结束序号,事件结束序号,触发原因,合理价,合理价不确定性_跳,有效参考合约数,参考合约列表,价差基线最少样本数,噪声样本数,噪声覆盖秒数,最新成交价,区间成交均价,末笔向下偏离_跳,末笔向下偏离_基点,区间均价向下偏离_跳,区间均价向下偏离_基点,一秒合并成交均价,一秒合并均价向下偏离_跳,末笔触发阈值_跳,区间均价触发阈值_跳,突发偏离_跳,区间增量成交量,区间增量成交额,事件成交量,名义成交额缺口,回归标签,可见末笔恢复确认秒数,区间均价恢复确认秒数,买一恢复确认秒数,数据质量标记
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2605|11:03:25.550,20260316,11:03:25.550,,EG,EG2605,50605550,25590,25590,50605550,visible_execution_drop,4953.5,4.4478,3,"EG2607,EG2604,EG2608",20,504,289.502,4920.0,4935.405376344086,33.5,67.62894922781871,18.094623655913892,36.52896670215785,,,26.0064,27.539985185182623,29.607215447154886,930.0,45899270.0,930.0,168279.99999999919,trade_recovered_3s,0.5,,0.5,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|09:04:30.411,20260316,09:04:30.411,09:04:31.411,EG,EG2609,43470411,13002,13002,43470911,"visible_execution_drop,interval_execution_drop",4829.0,1.8532499999999998,4,"EG2605,EG2607,EG2604,EG2606",20,179,260.013,4795.0,4796.142857142857,34.0,70.40795195692691,32.85714285714312,68.04129810963578,4795.815789473684,33.18421052631584,20.2216,20.0,14.074999999999818,7.0,335730.0,24.0,2300.000000000018,trade_recovered_10s,9.0,10.0,9.0,
aggregated-tick-v1,AUTO_INFERRED_V1,validated,EG2609|11:03:25.550,20260316,11:03:25.550,,EG,EG2609,50605550,24788,24788,50605550,visible_execution_drop,4863.5,2.9652,3,"EG2607,EG2604,EG2608",20,420,289.502,4840.0,4847.808219178082,23.5,48.31911175079675,15.691780821917746,32.2643791958831,,,20.0,20.0,23.5,219.0,10616700.0,219.0,34364.99999999986,trade_recovered_3s,0.5,,0.5,
